X,Y,id,nome,ubicazione,sup/fond,immagine,icon_url
17.1653131342719,39.0591568017719,"29",Hera Lacinia 14 Dir A,m,f,C:\Users\ettor\Desktop\Carta Crotone\Raster\P1000\jpg\heralacinia14dira.jpg,./0.png
17.1726287727363,39.0614353175008,"30",Hera Lacinia 16,m,s,C:\Users\ettor\Desktop\Carta Crotone\Raster\P1000\jpg\heralacinia16dir.jpg,./0.png
17.1711762957623,39.0698505374175,"31",Hera Lacinia 16 Dir,m,f,C:\Users\ettor\Desktop\Carta Crotone\Raster\P1000\jpg\heralacinia16dir.jpg,./0.png
17.1774294968209,39.0529395598072,"32",Hera Lacinia 17 Dir,m,f,C:\Users\ettor\Desktop\Carta Crotone\Raster\P1000\jpg\heralacinia17dir.jpg,./0.png
17.157976452839,39.0868990087397,"33",Hera Lacinia Nord 1,m,null,C:\Users\ettor\Desktop\Carta Crotone\Raster\P1000\jpg\heralacinian1.jpg,./0.png
17.1700210219729,39.0713766929909,"34",Hera Lacinia 15,m,null,C:\Users\ettor\Desktop\Carta Crotone\Raster\P1000\jpg\heralacinia15.jpg,./0.png
17.139214268644,39.3524264974413,"35",Laika 1,m,null,C:\Users\ettor\Desktop\Carta Crotone\Raster\P1000\jpg\laika01.jpg,./0.png
17.1707773091472,39.2134911664887,"36",Lara 1,m,null,C:\Users\ettor\Desktop\Carta Crotone\Raster\P1000\jpg\lara1.jpg,./0.png
17.1773933230719,39.3498171454468,"37",Lavinia 1 Dir,m,s,C:\Users\ettor\Desktop\Carta Crotone\Raster\P1000\jpg\lavinia1dir.jpg,./0.png
17.1816592792136,39.3455748534645,"38",Lavinia 1 Dir LP,m,Livello Principale,C:\Users\ettor\Desktop\Carta Crotone\Raster\P1000\jpg\lavinia1dir.jpg,./0.png
17.1872881199573,39.339288673272,"39",Lavinia 1 Dir F,m,f,C:\Users\ettor\Desktop\Carta Crotone\Raster\P1000\jpg\lavinia1dir.jpg,./0.png
17.1778118996316,39.3476019941674,"40",Lavinia 3,m,null,C:\Users\ettor\Desktop\Carta Crotone\Raster\P1000\jpg\lavinia3.jpg,./0.png
17.1590147223359,39.3431052743786,"41",Lavinia 4 X,m,null,C:\Users\ettor\Desktop\Carta Crotone\Raster\P1000\jpg\lavinia4x.jpg,./0.png
17.1483802258764,38.878423331298,"42",Leda 1,m,null,C:\Users\ettor\Desktop\Carta Crotone\Raster\P1000\jpg\leda1.jpg,./0.png
17.1461336613192,39.3998959880063,"43",Leila 1,t,null,C:\Users\ettor\Desktop\Carta Crotone\Raster\P1000\jpg\leila1dir.jpg,./0.png
17.1439819217627,39.4039538799281,"44",Leila 1 Dir,m,null,C:\Users\ettor\Desktop\Carta Crotone\Raster\P1000\jpg\leila1dir.jpg,./0.png
17.0075733652145,39.4981956242684,"45",Lella 1,m,null,C:\Users\ettor\Desktop\Carta Crotone\Raster\P1000\jpg\lella1.jpg,./0.png
17.2057853847197,38.9611274653342,"46",Liana 1,m,null,C:\Users\ettor\Desktop\Carta Crotone\Raster\P1000\jpg\liana01.jpg,./0.png
17.1587667226198,38.9689898221114,"47",Liala 1,t,s,C:\Users\ettor\Desktop\Carta Crotone\Raster\P1000\jpg\liala1dir.jpg,./0.png
17.1687020859147,38.9787615293244,"48",Liala 1 dir,m,f,C:\Users\ettor\Desktop\Carta Crotone\Raster\P1000\jpg\liala1dir.jpg,./0.png
16.9998287185833,38.8914788244036,"49",Liliana 1,m,null,C:\Users\ettor\Desktop\Carta Crotone\Raster\P1000\jpg\liliana1.jpg,./0.png
17.1889002382389,39.1593282169958,"50",Lilli 1,m,null,C:\Users\ettor\Desktop\Carta Crotone\Raster\P1000\jpg\lilli1.jpg,./0.png
17.2030822925118,39.0235720518441,"51",Linda 1 Dir,t,s,C:\Users\ettor\Desktop\Carta Crotone\Raster\P1000\jpg\linda1dir.jpg,./0.png
17.2153600782913,39.018014601296,"52",Linda 1 Dir F,m,f,C:\Users\ettor\Desktop\Carta Crotone\Raster\P1000\jpg\linda1dir.jpg,./0.png
17.2146554874777,39.0335519293177,"53",Linda 2 Dir,m,f,C:\Users\ettor\Desktop\Carta Crotone\Raster\P1000\jpg\linda2dir.jpg,./0.png
17.2176107845853,39.0471546268203,"54",Linda 3 Dir A,m,f,C:\Users\ettor\Desktop\Carta Crotone\Raster\P1000\jpg\linda3dira.jpg,./0.png
17.2032755187253,39.0353712951378,"55",Linda 3 Dir,m,f,C:\Users\ettor\Desktop\Carta Crotone\Raster\P1000\jpg\linda3dir.jpg,./0.png
17.2171569191038,39.026728997808,"56",Linda 4 Dir,m,f,C:\Users\ettor\Desktop\Carta Crotone\Raster\P1000\jpg\linda4dir.jpg,./0.png
17.1625834715404,39.2084000172685,"57",Lira 1,m,null,C:\Users\ettor\Desktop\Carta Crotone\Raster\P1000\jpg\lira1.jpg,./0.png
